Jahr	Stimmberechtigte	Beteiligung	Anzahl Urnengänge	Anzahl abgestimmte Vorlagen
1990	4336305	40.7	2	10
1991	4424960	32.3	2	4
1992	4528704	52.0	4	16
1993	4557564	48.0	4	16
1994	4574208	44.3	4	13
1995	4587863	39.1	2	7
1996	4604757	36.4	3	9
1997	4617373	38.1	2	5
1998	4634892	43.7	3	10
1999	4643610	39.9	3	10
2000	4670283	44.3	4	15
2001	4699814	45.3	3	11
2002	4736552	48.2	4	8
2003	4760181	39.2	2	11
2004	4805262	46.8	4	13
2005	4849474	51.1	3	5
2006	4891363	40.6	3	6
2007	4921794	41.1	2	2
2008	4973571	43.7	3	10
2009	5020372	46.1	4	8
2010	5070806	44.7	3	6
2011	5092212	49.1	1	1
2012	5153959	38.4	4	12
2013	5189673	46.6	4	11
2014	5230302	52.4	4	12
2015	5260043	42.8	2	6
2016	5320514	49.6	4	13
2017	5357836	45.6	3	7
